Obs	Label	slice	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_C5	rel_flux_C6	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_err_C5	rel_flux_err_C6	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	rel_flux_SNR_C5	rel_flux_SNR_C6	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	X(IJ)_C5	Y(IJ)_C5	X(FITS)_C5	Y(FITS)_C5	Source-Sky_C5	Source_Error_C5	Source_SNR_C5	Peak_C5	Mean_C5	Sky/Pixel_C5	Width_C5	X-Width_C5	Y-Width_C5	Angle_C5	Roundness_C5	X(IJ)_C6	Y(IJ)_C6	X(FITS)_C6	Y(FITS)_C6	Source-Sky_C6	Source_Error_C6	Source_SNR_C6	Peak_C6	Mean_C6	Sky/Pixel_C6	Width_C6	X-Width_C6	Y-Width_C6	Angle_C6	Roundness_C6	rel_flux_T1_dn	rel_flux_err_T1_dn	
1	hat20b.0001_out.fits	1	58174.70038	2458174.7	2458174.7	2458174.695	NaN	1.278006	51.427056	NaN	15	0	0	9	16	24	0.570669	0.067995	0.161765	0.105821	0.851321	0.318485	0.000375	0.000121	0.000186	0.000157	0.000686	0.000302	1522.04208	562.581845	868.20114	675.475195	1240.51478	1055.069326	2271554.434	916.772694	715.627359	678.045455	716.127359	386.454545	1296304.849	672.057949	1928.85874	39760.92188	5382.996239	299.447812	7.021127	7.72014	6.322115	354.602424	0.959714	1098.87636	796.580987	1099.37636	267.919013	144621.0979	249.972867	578.547183	4588.383301	706.715762	139.574202	7.105662	7.927637	6.283687	355.410463	0.946517	1222.636293	55.415497	1223.136293	1009.084503	316293.2389	337.19838	938.003436	10017.96484	1357.704717	102.572817	7.073175	7.851709	6.29464	356.277994	0.951885	432.093109	34.51947	432.593109	1029.98053	217374.4947	308.571117	704.455092	6876.887695	1074.23389	221.784891	7.065985	7.820866	6.311105	350.711777	0.950331	368.985768	826.73148	369.485768	237.76852	1044563.136	602.449387	1733.860402	32472.01758	4295.806803	231.358804	7.042296	7.800491	6.284101	355.55788	0.953584	569.159123	959.548008	569.659123	104.951992	548702.4671	454.006161	1208.579343	18062.26563	2419.212002	267.437621	7.063981	7.888628	6.239333	354.764467	0.945131	1.000207	0.000657	
2	hat20b.0002_out.fits	2	58174.70068	2458174.701	2458174.701	2458174.695	NaN	1.277025	51.48253	NaN	15	0	0	9	16	24	0.570608	0.068002	0.161723	0.105366	0.848798	0.32046	0.000373	0.00012	0.000185	0.000155	0.000681	0.000302	1529.588532	565.524436	871.878412	678.765221	1246.759149	1061.640157	2290970.509	919.958972	716.769438	677.582144	717.269438	386.917856	1307246.778	674.426155	1938.30973	47987.27734	5423.147823	296.68987	6.519916	7.033174	6.006658	2.451948	0.975336	1100.022947	796.069304	1100.522947	268.430696	145870.926	250.818501	581.57961	5155.150391	709.180128	139.371823	6.583949	7.158121	6.009776	0.837417	0.970011	1223.69328	55.086353	1224.19328	1009.413647	318924.6465	338.624524	941.823831	11969.31836	1348.59161	102.79221	6.522557	7.10615	5.938964	359.3374	0.968468	433.25531	34.098851	433.75531	1030.401149	218380.4302	308.499821	707.878629	8340.522461	1079.517491	223.123647	6.471754	7.053602	5.889906	357.518748	0.967944	370.162809	826.252236	370.662809	238.247764	1051803.269	603.965351	1741.496043	37720.92969	4371.862973	230.90522	6.52597	7.062803	5.989138	2.535887	0.973085	570.318853	959.044518	570.818853	105.455482	555991.2369	456.948287	1216.748705	20045.32617	2438.598413	266.757644	6.538722	7.131889	5.945554	1.935785	0.967469	1.002813	0.000656	
3	hat20b.0003_out.fits	3	58174.70098	2458174.701	2458174.701	2458174.696	NaN	1.276049	51.537848	NaN	15	0	0	9	16	24	0.571258	0.06808	0.161438	0.105493	0.851978	0.31891	0.000381	0.000123	0.000189	0.000159	0.000696	0.000306	1501.251303	553.56508	854.54386	664.312936	1223.278914	1040.555419	2216394.799	907.272251	715.901611	677.51604	716.401611	386.98396	1266132.693	665.340075	1902.985766	30707.81641	5269.368029	304.141783	7.785261	8.127652	7.44287	1.728407	0.992265	1099.119931	796.054817	1099.619931	268.445183	141275.0753	248.197896	569.203357	3346.912354	692.121822	140.266059	7.848585	8.200773	7.496398	5.298702	0.991697	1222.866578	54.955427	1223.366578	1009.544573	308074.7231	333.79801	922.937566	7569.168457	1312.418967	104.282798	7.778626	8.129693	7.427559	3.437576	0.991767	432.310379	33.985422	432.810379	1030.514578	211501.3705	305.353068	692.645309	5347.776855	1049.911952	223.734723	7.75067	8.107397	7.393944	356.995815	0.991469	369.241908	826.195688	369.741908	238.304312	1019622.884	595.636306	1711.821248	24399.11523	4231.644926	233.123812	7.812684	8.162552	7.462816	2.621369	0.991943	569.39427	958.97513	569.89427	105.52487	535920.7458	449.551471	1192.123217	13567.55469	2378.236983	268.312787	7.828507	8.201041	7.455972	0.996654	0.990972	1.001611	0.000667	
4	hat20b.0004_out.fits	4	58174.70128	2458174.701	2458174.701	2458174.696	NaN	1.275079	51.592934	NaN	15	0	0	9	16	24	0.571165	0.067965	0.161218	0.10505	0.85302	0.319471	0.000376	0.000121	0.000186	0.000157	0.000689	0.000303	1518.439498	560.652552	864.551672	670.315112	1237.326341	1052.899802	2264496.3	916.399573	716.895327	677.335647	717.395327	387.164353	1293400.071	672.006321	1924.684382	39236.08984	5350.702114	298.358085	7.285922	7.459508	7.112337	351.565189	0.997524	1100.149101	795.825655	1100.649101	268.674345	144112.5143	249.962289	576.537024	4108.355957	700.048311	139.299228	7.354984	7.619889	7.090079	355.13909	0.994673	1223.840106	54.823117	1224.340106	1009.676883	314392.6904	336.68849	933.779146	9144.083008	1326.501056	103.183195	7.267747	7.436997	7.098496	355.666195	0.997783	433.345071	33.860957	433.845071	1030.639043	215271.043	308.085489	698.738014	6311.883789	1061.988434	224.357916	7.287358	7.467738	7.106977	340.909367	0.996039	370.28647	825.993781	370.78647	238.506219	1042439.255	602.078323	1731.401406	30817.87695	4272.17454	231.712311	7.300527	7.521096	7.079957	357.981293	0.996337	570.412176	958.787294	570.912176	105.712706	548280.7971	454.458927	1206.447415	15534.64941	2418.989293	268.86852	7.31671	7.591875	7.041545	354.397981	0.994137	1.003963	0.000661	
5	hat20b.0005_out.fits	5	58174.70158	2458174.702	2458174.701	2458174.696	NaN	1.274116	51.647846	NaN	15	0	0	9	16	24	0.56925	0.068126	0.162011	0.105657	0.850822	0.318455	0.000375	0.000121	0.000187	0.000157	0.000688	0.000303	1516.024947	561.679682	865.741973	673.311632	1237.213662	1051.617052	2260412.431	914.775991	716.16398	678.328292	716.66398	386.171708	1286740.643	670.243369	1919.811075	45041.08203	5307.980597	301.207667	7.010517	7.497899	6.523134	0.400324	0.980849	1099.376023	796.852978	1099.876023	267.647022	144170.595	249.577087	577.659578	4555.567383	702.714045	139.547658	7.048734	7.606876	6.490591	0.235698	0.97523	1223.143156	55.784631	1223.643156	1008.715369	315152.8933	336.94332	935.329104	9902.895508	1338.995386	103.101687	7.028451	7.614136	6.442766	358.445672	0.972525	432.599957	34.825318	433.099957	1029.674682	216006.5772	307.628259	702.167537	7065.143555	1071.266426	224.181809	6.985461	7.529798	6.441123	356.98863	0.975736	369.480902	827.016816	369.980902	237.483184	1039110.439	600.700433	1729.831346	32050	4323.406319	232.42034	6.975608	7.486124	6.465091	0.237576	0.978802	569.61574	959.825633	570.11574	104.674367	545971.927	453.342514	1204.325449	17517.29492	2401.384066	268.681226	7.019639	7.582758	6.45652	0.210536	0.974585	0.999342	0.000659	
6	hat20b.0006_out.fits	6	58174.70188	2458174.702	2458174.702	2458174.697	NaN	1.273158	51.702595	NaN	15	0	0	9	16	24	0.570848	0.067949	0.161763	0.105442	0.850234	0.319649	0.000377	0.000121	0.000187	0.000157	0.000689	0.000304	1514.428019	560.138056	863.970442	670.229932	1234.195786	1049.981674	2252248.378	913.684004	716.346269	678.077494	716.846269	386.422506	1285691.553	669.847723	1919.37885	42726.66406	5322.906752	300.674124	7.21437	7.448756	6.979983	355.193133	0.995666	1099.608791	796.573029	1100.108791	267.926971	143301.5421	248.760029	576.063375	4373.377441	708.09183	139.434917	7.207651	7.49365	6.921651	355.361644	0.993554	1223.310986	55.53873	1223.810986	1008.96127	313600.6277	335.946541	933.483724	9734.885742	1352.973135	103.568244	7.104393	7.418965	6.789821	359.869651	0.992188	432.807233	34.63936	433.307233	1029.86064	214829.7779	307.424184	698.805718	6870.355469	1063.131148	223.952328	7.148417	7.476799	6.820036	349.608972	0.990384	369.692064	826.766585	370.192064	237.733415	1034971.076	599.908869	1725.213828	31053.50977	4293.232932	234.522831	7.212733	7.504736	6.920729	355.337995	0.993289	569.849398	959.53583	570.349398	104.96417	545545.3547	453.515764	1202.924788	17321.38477	2407.972363	268.578815	7.219553	7.553017	6.88609	353.451312	0.991043	1.002462	0.000662	
7	hat20b.0007_out.fits	7	58174.70218	2458174.702	2458174.702	2458174.697	NaN	1.272206	51.757139	NaN	15	0	0	9	16	24	0.568413	0.067826	0.161376	0.105462	0.852905	0.31895	0.000375	0.000121	0.000187	0.000157	0.000689	0.000303	1516.966943	560.088289	864.733912	673.055325	1238.292315	1054.004007	2264256.025	915.533578	716.985104	678.189677	717.485104	386.310323	1287033.476	670.08066	1920.714256	38701.07422	5365.648686	298.587756	7.371207	7.577622	7.164792	349.986315	0.996452	1100.254992	796.653185	1100.754992	267.846815	143821.3037	249.736856	575.891384	3899.490967	703.373587	139.368475	7.445084	7.71152	7.178647	354.16102	0.994672	1224.03139	55.711272	1224.53139	1008.788728	314624.4496	336.907272	933.860666	8663.063477	1331.807987	102.806231	7.477501	7.667037	7.287966	345.427555	0.996635	433.437946	34.768141	433.937946	1029.731859	216011.823	307.790285	701.814948	6122.179199	1073.470887	223.030638	7.369802	7.566952	7.172653	339.45745	0.994969	370.329979	826.880931	370.829979	237.619069	1042252.853	601.734656	1732.080482	29371.13086	4303.213966	231.913761	7.374861	7.605195	7.144526	350.167408	0.995608	570.440977	959.688921	570.940977	104.811079	547545.596	453.329097	1207.832454	15405.97949	2450.208568	268.75201	7.381612	7.664665	7.098558	351.837149	0.993633	0.999957	0.000659	
8	hat20b.0008_out.fits	8	58174.70247	2458174.702	2458174.702	2458174.697	NaN	1.27126	51.811479	NaN	15	0	0	9	16	24	0.563773	0.067493	0.160185	0.105681	0.852981	0.320648	0.000373	0.000121	0.000186	0.000157	0.000689	0.000305	1512.341745	558.145367	862.663746	673.749718	1237.239384	1052.498426	2263471.17	916.102564	719.707975	677.585966	720.207975	386.914034	1276083.578	667.24763	1912.458763	38244.19531	5342.006892	298.198285	7.165997	7.665354	6.666639	2.037045	0.980666	1103.017445	796.058349	1103.517445	268.441651	143109.751	249.404219	573.806456	4463.984863	697.820428	138.797963	7.23387	7.824902	6.642838	0.209564	0.97365	1226.771301	54.990223	1227.271301	1009.509777	312514.7637	335.54744	931.357914	9247.664062	1323.918121	103.157325	7.146977	7.744268	6.549685	0.248679	0.972447	436.249618	34.103272	436.749618	1030.396728	216343.0608	307.884261	702.676584	7382.899414	1077.188433	225.444099	7.100754	7.678739	6.522769	356.412873	0.973431	373.113015	826.221802	373.613015	238.278198	1041941.422	601.620631	1731.891108	30316.44531	4320.146742	234.101951	7.177402	7.703283	6.651522	1.009167	0.978729	573.246473	959.035425	573.746473	105.464575	549562.1732	455.751311	1205.837833	16575.6875	2409.021708	270.647494	7.218861	7.799617	6.638106	359.153731	0.974421	0.998592	0.00066	
9	hat20b.0009_out.fits	9	58174.70277	2458174.703	2458174.703	2458174.698	NaN	1.270319	51.865648	NaN	15	0	0	9	16	24	0.565933	0.067495	0.160561	0.105575	0.852313	0.320649	0.000374	0.000121	0.000186	0.000157	0.000689	0.000304	1511.917227	559.521854	862.197232	673.180194	1237.085422	1053.45866	2256778.173	913.41828	719.198679	677.920499	719.698679	386.579501	1277186.064	668.113169	1911.631327	39055.83203	5287.482514	298.47445	7.221118	7.788197	6.65404	358.482747	0.975565	1102.437888	796.367179	1102.937888	268.132821	142691.3407	248.025037	575.310229	4463.177734	708.247778	139.756381	7.234153	7.872661	6.595644	359.209112	0.969295	1226.224839	55.259218	1226.724839	1009.240782	312219.818	335.445408	930.761937	9632.399414	1327.60172	103.210277	7.181455	7.808766	6.554145	0.097285	0.969939	435.653329	34.378971	436.153329	1030.121029	215507.4654	306.979141	702.026414	7073.159668	1081.428088	226.239733	7.151549	7.762378	6.54072	352.929945	0.969415	372.522166	826.607928	373.022166	237.892072	1038421.053	600.107168	1730.392685	30720.58789	4387.427142	233.742932	7.205396	7.7785	6.632292	357.992619	0.974889	572.642223	959.362029	573.142223	105.137971	547938.4967	453.793023	1207.463468	17527.62109	2453.804101	270.782202	7.248245	7.919291	6.577198	358.38322	0.966188	1.001291	0.000662	
10	hat20b.0010_out.fits	10	58174.70307	2458174.703	2458174.703	2458174.698	NaN	1.269385	51.919593	NaN	15	0	0	9	16	24	0.568047	0.067742	0.16095	0.105997	0.85128	0.319692	0.000383	0.000124	0.000191	0.000161	0.000704	0.000311	1481.852405	545.991512	843.953209	657.382962	1209.426448	1028.800636	2172068.464	899.397312	719.117672	678.145683	719.617672	386.354317	1233837.246	657.462267	1876.666248	29314.08203	5161.732499	304.105545	8.034774	8.172647	7.896902	8.719081	0.998707	1102.362335	796.614204	1102.862335	267.885796	137805.7956	245.495249	561.337933	3500.187988	687.91133	141.062934	8.006944	8.182971	7.830918	10.095122	0.997807	1226.064855	55.583469	1226.564855	1008.916531	301127.6761	330.430279	911.319862	7684.908691	1290.590605	105.048573	7.976443	8.149791	7.803095	358.408914	0.998107	435.612608	34.586077	436.112608	1029.913923	208167.7692	303.680881	685.481971	5744.147461	1053.557108	227.494531	7.932544	8.096956	7.768133	345.816601	0.997783	372.489965	826.768643	372.989965	237.731357	998789.3656	589.8897	1693.179869	24850.38672	4218.67958	239.439079	8.005318	8.150746	7.859891	8.418946	0.99856	572.590746	959.51407	573.090746	104.98593	526177.8573	446.398367	1178.718149	13486.71289	2369.688518	273.362393	8.03452	8.25198	7.817061	3.665091	0.997026	1.004973	0.000678	
