       Wavelength             Transmission
2.000000000000000000e+00 8.570988305591956125e-03
2.000500100020004002e+00 8.570969588823940458e-03
2.001000200040008004e+00 8.570950874332475267e-03
2.001500300060012005e+00 8.570932176147355239e-03
2.002000400080016007e+00 8.570913519799463337e-03
2.002500500100020009e+00 8.570894916074663084e-03
2.003000600120024011e+00 8.570876389579866472e-03
2.003500700140028012e+00 8.570857951820340728e-03
2.004000800160032014e+00 8.570839631816606213e-03
2.004500900180036016e+00 8.570821428004533893e-03
2.005001000200040018e+00 8.570803366970197387e-03
2.005501100220044020e+00 8.570785458678051305e-03
2.006001200240048021e+00 8.570767724040603483e-03
2.006501300260052023e+00 8.570750164266987409e-03
2.007001400280056025e+00 8.570732802178061133e-03
2.007501500300060027e+00 8.570715652095405035e-03
2.008001600320064028e+00 8.570698718235921984e-03
2.008501700340068030e+00 8.570682013234029797e-03
2.009001800360072032e+00 8.570665555537083230e-03
2.009501900380076034e+00 8.570649342764795342e-03
2.010002000400080036e+00 8.570633384857433493e-03
2.010502100420084037e+00 8.570617687779447103e-03
2.011002200440088039e+00 8.570602261272262587e-03
2.011502300460092041e+00 8.570587118041032848e-03
2.012002400480096043e+00 8.570572253179880098e-03
2.012502500500100044e+00 8.570557673090043252e-03
2.013002600520104046e+00 8.570543380183174784e-03
2.013502700540108048e+00 8.570529379992150934e-03
2.014002800560112050e+00 8.570515670182637588e-03
2.014502900580116052e+00 8.570502247031741225e-03
2.015003000600120053e+00 8.570489121764657964e-03
2.015503100620124055e+00 8.570476282874488205e-03
2.016003200640128057e+00 8.570463732805970805e-03
2.016503300660132059e+00 8.570451476839666474e-03
2.017003400680136060e+00 8.570439498369088194e-03
2.017503500700140062e+00 8.570427804062533822e-03
2.018003600720144064e+00 8.570416386672762357e-03
2.018503700740148066e+00 8.570405243707708218e-03
2.019003800760152068e+00 8.570394370069588097e-03
2.019503900780156069e+00 8.570383761124443847e-03
2.020004000800160071e+00 8.570373408243044458e-03
2.020504100820164073e+00 8.570363311765036643e-03
2.021004200840168075e+00 8.570353460861174916e-03
2.021504300860172076e+00 8.570343854738964734e-03
2.022004400880176078e+00 8.570334477849408245e-03
2.022504500900180080e+00 8.570325331588307324e-03
2.023004600920184082e+00 8.570316403340142233e-03
2.023504700940188084e+00 8.570307695042701443e-03
2.024004800960192085e+00 8.570299193742924454e-03
2.024504900980196087e+00 8.570290890452355453e-03
2.025005001000200089e+00 8.570282783471640242e-03
2.025505101020204091e+00 8.570274867547644088e-03
2.026005201040208092e+00 8.570267128000259166e-03
2.026505301060212094e+00 8.570259561363971143e-03
2.027005401080216096e+00 8.570252166304697869e-03
2.027505501100220098e+00 8.570244930075909817e-03
2.028005601120224100e+00 8.570237848664822092e-03
2.028505701140228101e+00 8.570230916686398526e-03
2.029005801160232103e+00 8.570224127813210954e-03
2.029505901180236105e+00 8.570217475765506618e-03
2.030006001200240107e+00 8.570210957117865846e-03
2.030506101220244108e+00 8.570204556868056545e-03
2.031006201240248110e+00 8.570198276395289694e-03
2.031506301260252112e+00 8.570192110022585574e-03
2.032006401280256114e+00 8.570186059301493006e-03
2.032506501300260116e+00 8.570180106058996813e-03
2.033006601320264117e+00 8.570174254134746081e-03
2.033506701340268119e+00 8.570168500723968769e-03
2.034006801360272121e+00 8.570162841219313918e-03
2.034506901380276123e+00 8.570157266160947571e-03
2.035007001400280124e+00 8.570151775115752643e-03
2.035507101420284126e+00 8.570146360921921530e-03
2.036007201440288128e+00 8.570141026293531458e-03
2.036507301460292130e+00 8.570135762842181343e-03
2.037007401480296132e+00 8.570130567985377937e-03
2.037507501500300133e+00 8.570125438584437483e-03
2.038007601520304135e+00 8.570120369545051325e-03
2.038507701540308137e+00 8.570115358899964980e-03
